Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
1000,-336,16782,65,34,33,243
986,-368,16818,70,19,31,243
978,-340,16790,52,22,44,243
986,-364,16788,59,24,50,243
984,-338,16762,71,14,46,243
1014,-366,16792,61,18,37,243
988,-366,16804,62,16,34,243
980,-370,16780,60,12,32,243
984,-358,16786,53,32,39,243
992,-350,16812,64,32,52,243
996,-336,16792,67,36,39,243
990,-366,16774,67,25,35,243
984,-366,16760,57,16,25,243
982,-338,16818,56,14,35,243
978,-330,16810,60,26,28,243
984,-344,16764,60,17,34,243
988,-376,16766,59,21,32,243
984,-322,16814,58,21,39,243
988,-334,16800,57,16,40,243
964,-350,16768,66,33,37,243
990,-346,16768,61,32,38,243
970,-360,16774,64,41,38,243
982,-358,16776,57,39,40,243
986,-350,16772,64,18,42,243
982,-334,16770,55,15,34,243
984,-366,16810,61,27,32,243
1004,-348,16788,58,17,32,243
996,-352,16774,65,20,30,243
984,-348,16786,66,28,42,243
982,-352,16814,55,32,34,243
976,-340,16800,64,28,42,243
986,-342,16762,75,22,32,243
976,-378,16806,61,34,35,243
1012,-334,16816,63,35,33,243
978,-350,16800,60,28,35,243
986,-352,16778,68,28,30,243
976,-370,16800,57,13,30,243
982,-366,16792,66,16,40,243
998,-366,16806,69,32,25,243
964,-366,16760,60,32,37,243
992,-346,16794,59,22,42,243
1006,-348,16834,64,25,36,243
978,-346,16820,64,32,21,243
1002,-378,16788,56,34,31,243
1008,-362,16788,60,26,32,243
984,-344,16812,67,30,35,243
984,-358,16786,64,26,39,243
984,-336,16796,58,19,25,243
984,-352,16778,55,26,32,243
992,-344,16802,65,21,32,243
992,-338,16790,59,13,39,243
1002,-380,16742,60,21,37,243
1000,-360,16810,60,32,25,243
1002,-384,16800,68,28,32,243
988,-358,16814,62,35,34,243
998,-336,16766,55,27,35,243
992,-356,16822,57,22,39,243
964,-368,16794,69,30,36,243
974,-352,16780,61,29,36,243
992,-334,16756,66,18,32,243
998,-356,16794,57,21,31,243
990,-352,16814,63,28,38,243
992,-338,16816,64,24,35,243
970,-330,16750,61,33,23,243
970,-362,16778,56,29,27,243
1004,-352,16772,59,32,39,243
